"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"alpha",0.38764348357277,0.00206011935799808,0.0966086718015101,0.219540096377686,0.318848382108363,0.382998117956061,0.451070514060462,0.592504289164087,2199.11254864656,1.00028588368643
"effort_baseline",6.21370607385235,0.00351707513757347,0.163973665751,5.91570712895375,6.10364222819063,6.20650203114888,6.31516355576789,6.55859542084252,2173.62649118258,1.00026117730025
"gamma",0.100361551241378,0.000696718423115614,0.032057020797745,0.0346231154555828,0.0799212138394185,0.100850454155603,0.122396565475454,0.160778143597507,2117.0529906929,1.00095273543925
"effort_0",6.57019951315323,0.00156796383751174,0.0988946073350212,6.38503748690304,6.50246153922961,6.56986525067983,6.63747350844747,6.76203950544172,3978.07655451093,1.00006572187133
"delta",0.0743469931540903,0.000235319383899828,0.0139975531794336,0.0522505123567374,0.0642335986622488,0.0726636098069454,0.0827050284872066,0.105880914831102,3538.25270154808,1.00040087534403
"skill_change",3.16833153957616,0.00862389173287884,0.455078586429454,2.33517500214611,2.84302649356411,3.15029918601685,3.45140224642757,4.14130225275064,2784.62174115128,1.00121988432439
"skill_min",2.74513881334803,0.00656116009875361,0.391481653928976,2.0573308748418,2.47358111931431,2.72573007794611,2.99787828126459,3.57265843890162,3560.09476699096,1.00052794678698
"gain20",-16.272672961363,0.0411046154578446,1.87990502186946,-20.1321461756465,-17.4772236222491,-16.1577634710255,-14.9683434771918,-12.9268045050835,2091.65781122995,1.00297630468266
"gain21",2.45906615490132,0.00654933781921424,0.29831211045579,1.93466230019885,2.2485006700012,2.43832257815677,2.65116444952259,3.08294416692123,2074.66024396842,1.00336812147833
"theta",0.592203572908459,0.00350218696562303,0.217585710997028,0.160133948020955,0.430987464886386,0.596797760332309,0.762627385782052,0.966339541837255,3859.9536381414,0.999767492982558
"lambda",0.272134388388158,0.00487225097466522,0.251199458024608,-0.239356526082638,0.113412858231804,0.270777090876339,0.423145371406253,0.784731089793496,2658.14148722173,0.999989953471677
"goal_0",4.81939031169018,0.00439031141574956,0.263118456184877,4.29831368937055,4.64439427906014,4.81887382454267,4.99151793737172,5.33630281742407,3591.79854984263,0.999578142775073
"sigma_effort_0",2.44068473634584,0.000961613959505495,0.0689900649024311,2.30884982802787,2.39295698561156,2.43890521471732,2.48542818678656,2.5824577374933,5147.20645887956,0.999651551026052
"sigma_effort_change",1.68985005151566,0.000343518748511511,0.0248889544569996,1.64357899992112,1.67248019132459,1.68884276116994,1.70650608928072,1.73924874127981,5249.43323161989,0.999428814717878
"sigma_performance_change",0.928337173373589,0.000174752062300296,0.0117147914055362,0.906093459208656,0.920186617561127,0.928187550725697,0.936166802999023,0.951860880902142,4493.91134481889,0.999888607355505
"sigma_goal_0",2.06261131418342,0.0023106442252149,0.178411192708368,1.74776032126074,1.9408992235602,2.05102951221452,2.1742896894884,2.45058234259117,5961.80861605998,0.999490101474824
"sigma_goal_change",1.46782382149515,0.000657681349580249,0.0462271601834697,1.38247549118054,1.43703885647279,1.46619860546236,1.49748930367571,1.56239412863657,4940.41437597307,0.999594187665268
"skill_max",5.91347035292419,0.0135214027365726,0.711429793477058,4.65488874883704,5.41871870434151,5.87408620816318,6.36936322317071,7.41391902021154,2768.34747442114,1.001390086366
"lp__",-5151.49186379303,0.0795106723623156,3.06398600955421,-5158.31010364994,-5153.31907064303,-5151.15227690874,-5149.31891931433,-5146.48917070682,1484.98717843973,1.00689275118931
