subno,condition,goal,correct,trialno
34,1,8,9,6
34,1,8,10,7
34,1,8,9,8
34,1,8,9,9
34,1,10,10,10
35,-1,4,4,1
35,-1,4,7,2
35,-1,6,5,3
35,-1,6,7,4
35,-1,6,8,5
35,-1,8,8,6
35,-1,8,6,7
35,-1,6,6,8
35,-1,6,7,9
35,-1,6,3,10
36,1,4,8,1
36,1,8,5,2
36,1,6,7,3
36,1,6,7,4
36,1,6,7,5
36,1,6,9,6
36,1,8,10,7
36,1,8,10,8
36,1,8,9,9
36,1,8,8,10
37,-1,8,5,1
37,-1,6,7,2
37,-1,6,8,3
37,-1,8,8,4
37,-1,8,5,5
37,-1,6,8,6
37,-1,6,7,7
37,-1,6,8,8
37,-1,6,7,9
37,-1,6,8,10
38,1,2,6,1
38,1,6,6,2
38,1,8,6,3
38,1,6,6,4
38,1,6,5,5
38,1,6,10,6
38,1,8,7,7
38,1,8,10,8
38,1,8,6,9
38,1,8,7,10
39,-1,2,6,1
39,-1,6,6,2
39,-1,6,5,3
39,-1,6,5,4
39,-1,6,4,5
39,-1,6,5,6
39,-1,4,6,7
39,-1,4,6,8
39,-1,4,8,9
39,-1,4,8,10
40,1,6,7,1
40,1,8,9,2
40,1,10,7,3
40,1,8,7,4
40,1,6,9,5
40,1,8,6,6
40,1,6,6,7
40,1,6,7,8
40,1,6,6,9
40,1,6,8,10
41,-1,8,7,1
41,-1,8,7,2
41,-1,8,6,3
41,-1,6,8,4
41,-1,8,7,5
41,-1,8,9,6
41,-1,8,8,7
41,-1,8,8,8
41,-1,8,7,9
41,-1,8,8,10
42,1,6,4,1
42,1,6,6,2
42,1,8,8,3
42,1,8,7,4
42,1,8,7,5
42,1,8,8,6
42,1,10,9,7
42,1,10,7,8
42,1,10,8,9
42,1,8,8,10
43,-1,4,1,1
43,-1,2,2,2
43,-1,2,1,3
43,-1,2,2,4
43,-1,2,4,5
43,-1,4,2,6
43,-1,2,3,7
43,-1,2,4,8
43,-1,4,2,9
43,-1,2,4,10
44,1,6,7,1
44,1,8,9,2
44,1,8,8,3
44,1,8,9,4
44,1,8,9,5
44,1,8,9,6
44,1,10,7,7
44,1,8,9,8
44,1,8,10,9
44,1,10,2,10
45,-1,6,3,1
45,-1,6,6,2
45,-1,6,6,3
45,-1,6,6,4
45,-1,6,6,5
45,-1,6,6,6
45,-1,6,6,7
45,-1,6,6,8
45,-1,6,9,9
45,-1,6,9,10
46,1,6,5,1
46,1,6,7,2
46,1,6,9,3
46,1,8,8,4
46,1,8,6,5
46,1,8,9,6
46,1,8,8,7
46,1,8,9,8
46,1,8,6,9
46,1,8,8,10
47,-1,4,3,1
47,-1,4,7,2
47,-1,6,8,3
47,-1,6,6,4
47,-1,6,9,5
47,-1,8,8,6
47,-1,8,7,7
47,-1,8,9,8
47,-1,8,7,9
47,-1,8,6,10
48,1,4,4,1
48,1,6,7,2
48,1,6,9,3
48,1,8,9,4
48,1,8,10,5
48,1,8,10,6
48,1,10,10,7
48,1,10,9,8
48,1,10,8,9
48,1,8,9,10
49,-1,6,5,1
49,-1,6,7,2
49,-1,6,6,3
49,-1,6,10,4
49,-1,8,5,5
49,-1,8,9,6
49,-1,8,7,7
49,-1,8,7,8
49,-1,8,6,9
49,-1,8,8,10
50,1,2,5,1
50,1,4,4,2
50,1,4,5,3
50,1,6,8,4
50,1,6,7,5
50,1,8,5,6
50,1,8,10,7
50,1,8,8,8
