subno,condition,trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14
119,1,3,5,4,2,3,3,1,2,4,3,2,3,2,2,0
119,1,4,6,4,3,1,1,0,1,1,4,2,2,5,4,0
119,1,5,6,4,1,2,3,0,2,3,5,5,4,2,0,0
119,1,6,5,1,3,4,2,1,1,3,5,2,5,3,1,0
120,-1,2,6,6,3,2,2,0,2,3,3,4,4,3,1,0
120,-1,3,6,4,2,1,1,0,1,1,2,1,1,5,2,0
120,-1,4,5,1,3,4,1,1,1,2,2,3,4,3,1,0
120,-1,5,6,2,2,2,1,0,2,4,2,2,1,2,0,0
120,-1,6,5,1,1,2,1,1,2,3,2,0,3,2,0,0
121,1,2,6,5,5,4,3,0,2,3,6,4,4,3,1,0
121,1,3,6,4,3,1,1,0,1,1,4,3,1,5,3,1
121,1,4,6,6,2,2,3,0,2,3,5,4,4,2,1,0
121,1,5,5,4,2,2,3,1,2,4,5,3,3,2,2,0
121,1,6,5,1,3,4,1,1,1,3,2,3,4,3,2,0
122,-1,2,5,4,4,2,3,1,2,3,3,3,3,2,2,0
122,-1,3,6,3,4,3,3,0,2,3,5,4,3,2,1,0
122,-1,4,5,1,3,4,1,1,1,2,2,3,4,3,1,0
122,-1,5,6,4,2,1,1,0,1,0,3,2,1,5,3,1
122,-1,6,6,4,2,2,2,0,2,3,3,4,5,3,1,0
123,1,2,5,2,3,4,3,1,1,3,4,3,4,4,1,0
123,1,3,5,4,2,2,3,1,2,4,5,1,3,2,1,0
123,1,4,6,4,1,2,2,0,2,2,3,4,3,2,0,0
123,1,5,6,3,2,2,2,0,2,2,3,3,2,2,0,0
123,1,6,6,4,2,2,0,0,1,2,1,1,1,4,0,0
124,-1,2,5,1,3,4,0,1,1,2,2,2,4,3,1,0
124,-1,3,6,4,1,1,1,0,1,0,3,1,2,4,1,0
124,-1,4,6,3,2,2,1,0,2,4,3,4,1,2,0,0
124,-1,5,6,4,1,3,1,0,2,2,3,3,3,1,0,0
124,-1,6,5,2,1,3,1,1,2,4,4,1,3,3,1,0
125,1,2,6,5,3,1,1,0,1,0,3,3,1,5,4,0
125,1,3,5,2,4,4,2,1,1,3,5,4,4,4,2,0
125,1,4,6,4,4,4,2,0,2,3,6,4,4,2,1,0
125,1,5,5,4,2,2,3,1,2,4,4,2,3,2,2,0
125,1,6,6,3,1,3,3,0,2,3,5,5,4,3,1,0
126,-1,2,5,5,3,2,3,1,2,4,5,3,3,2,2,0
126,-1,3,5,1,3,4,3,1,1,2,4,3,4,4,1,0
126,-1,4,6,4,3,1,1,0,1,0,3,3,1,4,3,0
126,-1,5,6,3,3,2,2,0,2,3,3,4,3,2,0,0
126,-1,6,6,3,1,3,1,0,2,3,4,4,3,2,1,0
127,1,2,5,2,3,4,2,1,1,2,3,3,4,2,1,0
127,1,3,6,3,2,3,1,0,2,3,5,4,3,2,1,0
127,1,4,6,4,2,1,1,0,1,1,2,1,2,5,1,0
127,1,5,6,3,1,2,1,0,2,2,3,4,4,2,0,0
127,1,6,5,1,1,2,1,1,2,4,2,1,3,2,1,0
128,-1,2,6,4,1,2,2,0,2,3,3,4,4,2,0,0
128,-1,3,5,3,2,2,3,1,2,4,2,1,3,2,2,0
128,-1,4,6,3,3,2,1,0,2,3,3,3,2,2,0,0
128,-1,5,5,1,3,3,0,1,1,2,2,1,4,1,0,0
128,-1,6,6,4,1,1,1,0,1,1,2,1,2,4,1,0
129,1,2,5,5,2,2,2,1,2,4,3,1,3,3,2,0
129,1,3,6,3,1,2,3,0,2,3,4,4,4,3,1,0
129,1,4,5,1,3,4,2,1,1,2,2,3,4,3,0,0
129,1,5,6,4,2,1,1,0,1,0,3,3,2,4,2,0
129,1,6,6,3,2,3,2,0,2,3,3,3,2,2,0,0
130,-1,2,6,4,3,4,3,0,2,3,5,5,4,3,1,0
130,-1,3,6,4,1,2,2,0,2,3,4,4,4,2,1,0
130,-1,4,5,1,3,4,2,1,1,3,4,3,4,3,1,0
130,-1,5,6,4,3,1,1,0,1,1,4,3,1,5,3,0
130,-1,6,5,4,2,2,3,1,2,4,3,2,3,2,2,0
131,1,2,5,3,3,4,2,1,1,2,3,3,4,3,1,0
131,1,3,5,3,2,2,2,1,2,2,3,1,3,1,1,0
131,1,4,6,3,2,2,1,0,2,3,4,4,2,2,0,0
131,1,5,6,4,1,1,1,0,1,1,3,1,1,4,1,0
131,1,6,6,2,0,2,2,0,2,3,4,3,3,3,1,0
132,-1,2,5,2,3,5,3,1,1,3,4,3,5,3,2,0
132,-1,3,6,4,3,3,2,0,2,3,5,5,4,3,1,0
132,-1,4,5,3,2,2,2,1,2,4,3,2,3,1,2,0
132,-1,5,6,4,1,2,3,0,2,3,4,4,4,2,1,0
132,-1,6,6,4,3,1,1,0,1,1,3,1,1,5,2,0
133,1,2,5,1,4,4,3,1,1,3,5,3,5,4,2,0
133,1,3,6,5,5,4,3,0,2,3,6,4,3,3,1,0
133,1,4,6,4,2,1,1,0,1,1,3,3,1,4,2,0
133,1,5,5,4,2,2,3,1,2,3,3,1,3,1,1,0
133,1,6,6,3,2,2,2,0,2,3,3,4,4,3,1,0
134,-1,2,6,4,1,2,2,0,2,3,5,3,3,2,1,0
134,-1,3,6,3,2,3,1,0,2,3,5,4,4,2,0,0
134,-1,4,6,4,2,1,1,0,1,2,2,3,2,5,2,0
134,-1,5,5,1,3,4,1,1,1,3,4,3,4,3,1,0
134,-1,6,5,4,2,3,3,1,2,4,4,1,3,2,1,0
135,1,2,6,4,1,2,3,0,2,3,3,4,4,3,1,0
135,1,3,6,3,2,4,2,0,2,3,5,4,3,2,1,0
135,1,4,5,4,2,3,3,1,2,4,4,1,3,3,1,0
135,1,5,5,1,3,4,2,1,1,3,5,3,5,3,1,0
135,1,6,6,4,2,1,1,0,1,1,3,2,2,4,3,0
136,-1,2,6,4,3,1,1,0,1,1,4,3,2,5,3,0
136,-1,3,6,3,3,4,2,0,2,3,5,4,3,3,1,0
136,-1,4,5,4,3,2,3,1,2,4,5,2,3,2,2,0
136,-1,5,6,4,2,2,2,0,2,3,5,5,4,3,1,0
136,-1,6,5,1,3,4,2,1,1,3,3,3,4,2,1,0
137,1,2,5,5,3,2,3,1,2,4,4,3,3,2,1,0
137,1,3,6,4,1,2,2,0,2,3,5,4,4,2,1,0
137,1,4,6,4,4,3,2,0,2,3,5,4,3,2,1,0
137,1,5,6,4,2,1,1,0,1,1,3,3,2,4,2,0
137,1,6,5,1,3,4,2,1,1,3,4,3,5,2,2,0
138,-1,2,5,1,4,3,2,1,1,3,2,3,4,3,2,0
138,-1,3,6,5,2,2,2,0,2,2,3,4,4,3,1,0
138,-1,4,6,4,2,1,1,0,1,1,2,1,1,4,2,0
138,-1,5,6,3,2,3,1,0,2,3,3,3,2,2,0,0
138,-1,6,5,3,1,2,1,1,2,2,2,1,3,1,1,0
139,1,2,6,6,1,2,2,0,2,3,5,5,4,3,1,0
139,1,3,6,4,3,1,1,0,1,1,3,2,1,4,2,0
139,1,4,5,2,2,2,3,1,2,2,2,2,3,2,1,0
139,1,5,5,1,3,4,1,1,1,2,2,3,4,3,0,0
139,1,6,6,3,2,2,1,0,2,3,2,4,3,3,1,0
140,-1,2,6,4,3,1,1,0,1,0,3,2,1,5,3,0
140,-1,3,5,5,2,2,3,1,2,3,3,2,3,2,2,0
140,-1,4,6,3,3,3,2,0,2,3,5,4,3,2,1,0
140,-1,5,6,3,2,2,2,0,2,2,4,4,3,2,1,0
140,-1,6,5,1,3,4,1,1,1,2,3,3,4,2,1,0
141,1,2,5,5,3,3,3,1,2,4,4,3,3,3,1,0
141,1,3,5,1,3,3,1,1,1,2,2,3,3,2,1,0
141,1,4,6,4,0,1,1,0,1,2,1,1,1,4,0,0
141,1,5,6,4,1,3,0,0,2,2,2,2,3,1,0,0
141,1,6,6,3,2,2,1,0,2,4,2,3,1,2,0,0
142,-1,2,5,4,3,2,3,1,2,4,4,3,3,2,2,0
142,-1,3,6,4,3,1,1,0,1,1,4,3,2,4,2,0
142,-1,4,6,3,3,3,2,0,2,3,4,5,3,3,1,0
142,-1,5,6,3,1,2,1,0,2,3,5,4,4,2,1,0
142,-1,6,5,1,3,4,2,1,1,2,3,2,5,4,2,0
143,1,2,5,2,3,4,2,1,1,2,3,3,4,3,1,0
143,1,3,6,4,1,1,2,0,1,1,2,1,2,5,2,0
143,1,4,6,4,1,2,2,0,2,2,2,2,2,2,0,0
143,1,5,6,3,2,2,1,0,2,3,3,4,2,2,0,0
143,1,6,5,4,2,2,2,1,2,4,3,1,3,2,1,0
144,-1,2,6,5,2,1,1,0,1,1,4,3,2,5,4,0
144,-1,3,6,3,3,3,2,0,2,3,5,5,3,3,1,0
144,-1,4,5,3,2,3,2,1,2,4,4,1,3,3,2,0
144,-1,5,6,4,2,2,3,0,2,3,4,5,4,2,0,0
144,-1,6,5,1,3,4,2,1,1,3,3,2,4,3,1,0
145,1,2,6,5,3,1,1,0,1,1,3,3,1,5,3,0
145,1,3,6,3,3,2,2,0,2,3,4,4,4,3,1,0
145,1,4,6,3,3,3,2,0,2,3,4,4,4,2,1,0
145,1,5,5,4,2,3,3,1,2,3,4,1,3,3,2,0
145,1,6,5,1,3,4,2,1,1,2,2,3,5,3,1,0
146,-1,2,5,3,4,4,3,1,1,3,5,4,5,4,2,0
146,-1,3,6,3,4,3,2,0,2,3,5,5,4,3,1,0
146,-1,4,6,4,3,1,1,0,1,1,4,3,2,5,3,0
146,-1,5,5,4,3,3,3,1,2,4,4,1,3,3,1,0
146,-1,6,6,4,2,2,3,0,2,3,4,5,4,2,1,0
147,1,2,6,5,2,2,2,0,2,2,2,4,3,2,1,0
147,1,3,5,2,4,3,1,1,1,2,2,2,4,3,1,0
147,1,4,6,3,2,2,1,0,2,3,4,4,2,2,0,0
147,1,5,6,4,0,1,1,0,1,0,3,1,1,4,1,0
147,1,6,5,3,1,2,1,1,2,3,2,2,2,3,1,0
148,-1,2,6,4,3,1,1,0,1,1,2,3,1,5,3,0
148,-1,3,5,1,3,3,2,1,1,2,2,2,4,2,1,0
148,-1,4,5,4,2,3,1,1,2,3,2,0,3,2,1,0
148,-1,5,6,3,2,2,1,0,2,3,3,5,2,2,0,0
148,-1,6,6,2,1,3,1,0,2,2,3,3,3,2,0,0
149,1,2,5,4,2,4,3,1,2,4,4,2,3,3,2,0
149,1,3,5,1,3,4,2,1,1,3,3,3,4,4,2,0
149,1,4,6,3,3,4,2,0,2,3,5,4,4,2,2,0
149,1,5,6,4,3,1,1,0,1,1,3,2,1,5,2,0
149,1,6,6,3,1,2,2,0,2,1,2,4,4,2,1,0
150,-1,2,5,4,3,3,3,1,2,3,3,1,3,2,2,0
150,-1,3,6,3,3,2,1,0,2,3,3,3,3,3,1,0
150,-1,4,6,3,2,2,2,0,2,2,2,4,3,2,1,0
150,-1,5,5,1,3,3,1,1,2,1,3,2,5,3,2,0
150,-1,6,6,3,2,1,1,0,1,1,2,1,1,4,1,0
151,1,2,6,4,2,2,2,0,2,3,3,3,4,2,1,0
151,1,3,6,4,2,1,1,0,1,1,2,2,1,4,2,0
151,1,4,5,1,3,3,1,1,1,2,2,2,4,3,1,0
151,1,5,6,3,2,2,1,0,2,3,4,4,2,3,0,0
151,1,6,5,4,3,3,3,1,2,4,2,1,3,1,1,0
152,-1,2,6,4,2,2,2,0,2,3,4,4,4,3,1,0
152,-1,3,5,2,3,4,2,1,1,3,4,3,4,4,2,0
152,-1,4,5,4,2,2,3,1,2,4,3,1,3,2,2,0
152,-1,5,6,4,2,1,1,0,1,1,2,2,1,5,2,0
152,-1,6,6,3,3,3,2,0,2,4,2,4,3,3,0,0
153,1,2,6,5,3,1,2,0,1,1,4,3,2,5,4,0
153,1,3,5,4,3,4,3,1,2,4,4,3,3,2,2,0
153,1,4,6,6,2,3,3,0,2,3,5,5,4,3,1,0
153,1,5,6,3,3,3,2,0,2,3,5,4,4,2,1,0
153,1,6,5,1,3,4,2,1,1,2,3,3,4,3,2,0
154,-1,2,6,6,2,2,2,0,2,3,5,5,4,3,1,0
154,-1,3,5,4,3,3,3,1,2,4,3,2,3,2,2,0
154,-1,4,6,3,4,3,2,0,2,3,5,4,4,2,1,0
154,-1,5,5,1,3,4,2,1,1,3,4,3,4,2,2,0
154,-1,6,6,4,2,1,1,0,1,1,4,2,2,5,4,0
155,1,2,5,4,2,2,3,1,2,4,4,2,3,3,2,0
155,1,3,6,3,3,3,2,0,2,3,3,4,4,2,1,0
155,1,4,5,1,3,4,2,1,1,3,3,3,5,3,1,0
155,1,5,6,4,2,1,1,0,1,1,3,3,1,5,2,0
155,1,6,6,3,1,2,3,0,2,3,3,4,3,2,0,0
156,-1,2,6,5,4,4,3,0,2,3,6,5,4,3,1,0
156,-1,3,6,5,3,1,1,0,1,1,3,3,2,5,4,0
156,-1,4,5,4,3,3,3,1,2,4,5,1,3,2,2,0
156,-1,5,5,2,3,4,3,1,1,3,5,3,4,3,2,0
156,-1,6,6,3,1,3,1,0,2,2,3,4,5,3,1,0
157,1,2,5,5,2,2,3,1,2,4,3,2,3,3,1,0
157,1,3,6,3,3,3,1,0,2,3,4,4,3,2,0,0
157,1,4,6,5,2,1,1,0,1,2,2,2,2,4,2,0
