subno,condition,torder,tid,time,diff,eff,wgcon,wgcom,wta,wea,correct,incorrect,goal,wfocalgpd,correctnc,incorrectnc,wtlin
101,1,8,7,240,6,9,7,8,-1,1,8,1,2,1,3,0,1
101,1,8,7,300,7,9,9,8,-1,1,8,2,2,0,0,1,2
101,1,9,8,60,7,8,5,9,-1,1,2,1,2,1,2,1,-2
101,1,9,8,120,7,9,3,9,-1,1,2,2,2,0,0,1,-1
101,1,9,8,180,8,8,0,8,-1,1,3,4,2,-2,1,2,0
101,1,9,8,240,8,9,0,8,0,0,3,5,2,-3,0,1,1
101,1,9,8,300,8,9,0,8,0,-1,4,6,2,-4,1,1,2
101,1,10,2,60,8,9,2,9,1,0,3,1,2,1,3,1,-2
101,1,10,2,120,8,9,3,9,1,0,5,1,2,1,2,0,-1
101,1,10,2,180,8,9,4,9,1,1,7,1,2,1,2,0,0
101,1,10,2,240,7,9,5,9,1,1,8,1,2,1,1,0,1
101,1,10,2,300,6,9,10,9,0,2,9,1,2,1,1,0,2
101,1,11,11,60,7,9,2,9,1,1,3,0,0,0,3,0,-2
101,1,11,11,120,8,9,2,9,1,1,6,0,0,0,3,0,-1
101,1,11,11,180,7,9,3,9,1,1,7,0,0,0,1,0,0
101,1,11,11,240,7,9,4,9,1,1,8,0,0,0,1,0,1
101,1,11,11,300,6,9,10,9,1,1,10,0,0,0,2,0,2
103,1,2,6,60,5,5,5,5,0,0,1,2,4,2,1,2,-2
103,1,2,6,120,4,6,7,7,-2,0,3,2,4,2,2,0,-1
103,1,2,6,180,5,5,6,5,-1,0,3,4,4,0,0,2,0
103,1,2,6,240,5,5,0,0,-1,0,5,5,4,-1,2,1,1
103,1,2,6,300,5,5,0,0,-1,-1,5,5,4,-1,0,0,2
103,1,3,7,60,5,6,6,6,-1,1,4,1,4,3,4,1,-2
103,1,3,7,120,5,5,6,6,-1,1,4,1,4,3,0,0,-1
103,1,3,7,180,5,5,7,7,-1,1,5,1,4,3,1,0,0
103,1,3,7,240,5,5,7,7,-1,1,7,2,4,2,2,1,1
103,1,3,7,300,5,5,9,9,-1,1,8,2,4,2,1,0,2
103,1,4,11,60,5,5,6,6,-1,1,2,0,2,2,2,0,-2
103,1,4,11,120,5,5,0,0,-1,1,2,4,2,-2,0,4,-1
103,1,4,11,180,5,5,0,0,-1,1,3,4,2,-2,1,0,0
103,1,4,11,240,5,5,0,0,-1,1,4,4,2,-2,1,0,1
103,1,4,11,300,5,5,0,0,-1,1,5,5,2,-3,1,1,2
103,1,5,8,60,5,5,4,4,-1,2,2,2,2,0,2,2,-2
103,1,5,8,120,5,5,5,5,0,0,2,3,2,-1,0,1,-1
103,1,5,8,180,5,5,0,0,-1,1,3,4,2,-2,1,1,0
103,1,5,8,240,5,5,5,0,0,1,5,5,2,-3,2,1,1
103,1,5,8,300,5,5,0,0,-1,1,5,5,2,-3,0,0,2
103,1,6,9,60,5,5,6,8,-1,1,3,0,2,2,3,0,-2
103,1,6,9,120,5,5,6,8,-1,2,5,0,2,2,2,0,-1
103,1,6,9,180,5,5,6,8,-1,2,7,1,2,1,2,1,0
103,1,6,9,240,5,5,6,8,-1,2,8,1,2,1,1,0,1
103,1,6,9,300,5,5,10,0,-1,2,8,2,2,0,0,1,2
103,1,7,1,60,5,5,6,8,-1,2,3,0,2,2,3,0,-2
103,1,7,1,120,5,5,6,8,-1,2,5,0,2,2,2,0,-1
